source_website,source_type,title,publish_time,content,keywords,keyword_count,sentiment,content_length,title_length,url,collection_time,data_count,company_id,news_type,company_name
新浪财经,新闻,AMD获得行业权威奖项，彰显技术实力,2025-01-22,"AMD今日宣布推出""绿色发展""计划，目标是实现碳中和。该计划将涵盖社会责任、可持续发展等多个方面，预计将投入46亿元。",AMD,1,中性,59,18,https://example.com/yuqing?yuqingId=4138634553&keyword=AMD,2026-01-02 19:22:52,,1,新闻,AMD
新浪财经,新闻,AMD达成新合作,2025-05-04,近日，AMD在市场拓展方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=4085976242&keyword=AMD,2026-01-02 19:22:52,,1,新闻,AMD
新浪财经,新闻,AMD业务规模突破100亿元,2024-05-07,"在近日举办的行业大会上，AMD凭借其在技术创新和产品质量方面的卓越表现，获得了""社会责任奖""。这一奖项的获得，充分彰显了AMD在行业内的技术实力和领先地位。",AMD,1,中性,78,14,https://example.com/yuqing?yuqingId=8951195609&keyword=AMD,2026-01-02 19:22:52,,1,新闻,AMD
爱企查,其他,AMD达成新合作,2026-06-12,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=3211350397&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
科技日报,其他,AMD与华为达成战略合作,2026-09-05,AMD昨日举办新品发布会，推出全新产品系列。新产品采用了最新的云计算技术，具有更高的性能和更好的用户体验，有望引领行业创新发展。,AMD,1,中性,64,12,https://example.com/yuqing?yuqingId=3724354693&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD推出全新产品，市场反应热烈,2026-04-15,"在近日举办的行业大会上，AMD凭借其在技术创新和产品质量方面的卓越表现，获得了""年度行业创新奖""。这一奖项的获得，充分彰显了AMD在行业内的技术实力和领先地位。",AMD,1,中性,80,16,https://example.com/yuqing?yuqingId=1028726605&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
证券时报,其他,AMD业务规模突破1亿用户,2025-01-12,AMD今日宣布其智能硬件业务规模突破1亿用户，成为行业内的重要参与者。业务负责人表示，将继续扩大市场份额。,AMD,1,中性,53,13,https://example.com/yuqing?yuqingId=3555981032&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD与小米达成战略合作,2025-05-09,AMD旗下AI业务2025年第四季度实现快速增长，营收同比增长44%。增长主要得益于全球化战略的成功。,AMD,1,中性,51,12,https://example.com/yuqing?yuqingId=8178013823&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
界面新闻,其他,AMD推出新产品,2023-05-18,近日，AMD在业务发展方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=6360452232&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
界面新闻,其他,AMD宣布人才培养计划，推动技术创新,2024-11-08,AMD今日宣布，将在未来3年内投资29亿元用于研发创新和市场拓展。公司表示，这一投资将有助于保持其在技术领域的领先地位，推动公司长期健康发展。,AMD,1,中性,71,18,https://example.com/yuqing?yuqingId=1196296847&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD发布2026年第四季度财报，营收同比增长49%,2026-05-19,AMD今日宣布其电商业务规模突破1亿用户，成为行业内的重要参与者。业务负责人表示，将继续扩大市场份额。,AMD,1,中性,51,26,https://example.com/yuqing?yuqingId=8342869856&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
36氪,其他,AMD推出新产品,2026-06-26,近日，AMD在业务发展方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=5341260611&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
爱企查,其他,AMD发布新公告,2023-10-28,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=2408835958&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD发布新公告,2024-07-19,近日，AMD在市场拓展方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=1603692746&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
证券时报,其他,AMD达成新合作,2023-06-20,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=9657333277&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
36氪,其他,AMD业务规模突破1亿用户,2025-08-05,AMD今日宣布其金融业务规模突破1亿用户，成为行业内的重要参与者。业务负责人表示，将继续扩大市场份额。,AMD,1,中性,51,13,https://example.com/yuqing?yuqingId=5397353373&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
界面新闻,其他,AMD发布2023年第三季度财报，营收同比增长45%,2023-07-05,AMD研究院今日宣布在智能制造领域取得重大突破，成功获得了专利授权。这一成果标志着AMD在该领域的研究进入国内领先行列。,AMD,1,中性,60,26,https://example.com/yuqing?yuqingId=6137389433&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
界面新闻,其他,AMD获得行业权威奖项，彰显技术实力,2024-01-09,"在近日举办的行业大会上，AMD凭借其在技术创新和产品质量方面的卓越表现，获得了""最佳企业奖""。这一奖项的获得，充分彰显了AMD在行业内的技术实力和领先地位。",AMD,1,中性,78,18,https://example.com/yuqing?yuqingId=2416410658&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
新浪财经,新闻,AMD宣布人才培养计划，推动技术创新,2024-11-25,AMD研究院今日宣布在大数据领域取得重大突破，成功获得了专利授权。这一成果标志着AMD在该领域的研究进入国内领先行列。,AMD,1,中性,59,18,https://example.com/yuqing?yuqingId=8210822578&keyword=AMD,2026-01-02 19:22:52,,1,新闻,AMD
爱企查,其他,AMD发布2024年第三季度财报，营收同比增长37%,2024-06-10,AMD研究院今日宣布在云计算领域取得重大突破，成功开发了新一代技术。这一成果标志着AMD在该领域的研究进入国内领先行列。,AMD,1,中性,60,26,https://example.com/yuqing?yuqingId=4167807064&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
证券时报,其他,AMD宣布重大投资计划，布局未来发展,2023-01-04,近日，AMD宣布与华为达成战略合作，双方将在技术研发、市场拓展等领域展开深度合作。此次合作将有助于AMD进一步提升市场竞争力。,AMD,1,中性,63,18,https://example.com/yuqing?yuqingId=4842356780&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
爱企查,其他,AMD与美团达成战略合作,2023-11-11,AMD今日宣布，将在未来2年内投资8亿元用于研发创新和市场拓展。公司表示，这一投资将有助于保持其在技术领域的领先地位，推动公司长期健康发展。,AMD,1,中性,70,12,https://example.com/yuqing?yuqingId=5343160962&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
爱企查,其他,AMD发布新公告,2023-01-18,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=5099047582&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
36氪,其他,AMD达成新合作,2026-09-16,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=5369416698&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD获得行业权威奖项，彰显技术实力,2024-04-15,AMD旗下金融业务2024年第二季度实现快速增长，营收同比增长50%。增长主要得益于新业务的快速发展。,AMD,1,中性,51,18,https://example.com/yuqing?yuqingId=7573967475&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
经济日报,其他,AMD旗下自动驾驶业务实现快速增长,2025-11-04,AMD昨日举办新品发布会，推出全新产品系列。新产品采用了最新的物联网技术，具有更高的性能和更好的用户体验，有望引领行业创新发展。,AMD,1,中性,64,17,https://example.com/yuqing?yuqingId=2704226226&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
36氪,其他,AMD达成新合作,2026-02-17,近日，AMD在技术创新方面取得了新的进展。公司表示，将继续努力，推动企业高质量发展。,AMD,1,中性,42,8,https://example.com/yuqing?yuqingId=3386184687&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
36氪,其他,AMD宣布生态建设计划，培养行业人才,2025-09-09,近日，AMD宣布与小米达成战略合作，双方将在技术研发、市场拓展等领域展开深度合作。此次合作将有助于AMD进一步提升市场竞争力。,AMD,1,中性,63,18,https://example.com/yuqing?yuqingId=3455259832&keyword=AMD,2026-01-02 19:22:52,,1,其他,AMD
